id,nama,email,nohp,departemen,k1_pengalaman,k2_pendidikan,k3_psikologi,k4_keahlian,k5_umur,k6_toefl,k7_ipk,rekomendasi
1,Bennie Feil,Lori.Osinski78@gmail.com,733-590-4299 x6712,Engineer,1,2,1,3,1,2,1,Tidak Diterima
2,Jean Tillman,Brittany_DAmore@yahoo.com,(388) 341-9317,HR,1,2,2,1,2,2,1,Tidak Diterima
3,Randolph Gutkowski,German.Moore@gmail.com,1-237-448-4047 x63301,Finance,2,1,1,3,1,1,2,Tidak Diterima
4,Toby Gibson,Christelle.Ebert@hotmail.com,262-833-8655 x8844,HR,2,1,1,1,2,3,3,Tidak Diterima
5,Miss Jerald Schmeler,Roberto25@gmail.com,376-431-3424,Finance,1,3,1,2,1,2,4,Tidak Diterima
6,Genevieve Kreiger,Joshua.Kuphal@gmail.com,1-468-335-1224,Marketing,1,4,1,1,2,3,3,Tidak Diterima
7,Brett Bayer,Sandy.Haag37@gmail.com,219-852-3203,Finance,1,1,1,1,3,4,4,Tidak Diterima
8,Ms. William Gislason,Bonnie_Wiza2@hotmail.com,687-555-2507,Commercial,3,1,1,1,1,2,3,Tidak Diterima
9,Amber Brekke V,Maribel_Larkin91@gmail.com,(652) 594-9851 x75847,Commercial,1,2,2,2,2,1,3,Tidak Diterima
10,Miss Marsha Larkin,Dallas.Reilly@gmail.com,831.572.7517,HR,3,2,1,1,1,3,1,Tidak Diterima
11,Mr. Juanita Langosh,Arlene_Reynolds85@gmail.com,(320) 407-4488 x3347,Engineer,2,3,1,1,1,4,2,Tidak Diterima
12,Ms. Mike Roob,Maurice12@yahoo.com,(594) 226-2860 x37166,HR,1,3,1,2,3,3,2,Tidak Diterima
13,Boyd Collier,Edwin.Gibson@yahoo.com,943-513-1867,HR,1,3,1,3,1,3,3,Tidak Diterima
14,Noah Cormier,Osbaldo_Renner@gmail.com,1-697-838-7954 x38238,Engineer,3,2,1,1,2,2,2,Tidak Diterima
15,Maggie Larkin,Clay.Larkin@yahoo.com,1-408-520-0399 x70084,Commercial,3,1,1,1,2,1,4,Tidak Diterima
